"row_id","athlete_id","year","number_races_run","personal_record","season_record","consistency","days_since_sr","all_american"
"677",50148,2023,6,1447.9006,1447.9006,38.952047581313,35,0
"678",50153,2023,4,1494.3015,1494.3015,18.5493,7,0
"679",50156,2023,5,1494.8016,1494.8016,42.501401552524,7,0
"680",50159,2023,6,1479.1,1494.2014,72.3998381749356,7,0
"681",50213,2023,3,1437.4003,1437.4003,39.9633354967886,7,0
"682",50216,2023,4,1454.001,1454.001,44.595842506505,7,1
"683",50218,2023,5,1475.8004,1475.8004,34.4147710379115,21,0
"684",50219,2023,4,1443.3006,1443.3006,36.2182638844915,7,0
"685",50226,2023,5,1484.6035,1484.6035,30.8520778170917,7,0
"686",50380,2023,6,1457.6,1489.7047,27.2166902131468,35,0
"687",50381,2023,5,1479.1,1502.9012,15.7047005272905,7,0
"688",50386,2023,6,1453,1467.3008,18.0674648158063,56,1
"689",50482,2023,6,1525.0016,1525.0016,21.6605726579744,7,0
"690",50506,2023,6,1532.3,1561.1072,7.91095514774295,35,0
"691",50508,2023,6,1476.3,1533.3007,14.5249874306314,63,0
"692",50515,2023,6,1489.8,1504.2007,19.7211326924597,7,0
"693",50609,2023,6,1499.0023,1499.0023,20.7916796119409,7,0
"694",50610,2023,6,1478.3005,1478.3005,89.6310170552966,21,0
"695",50852,2023,6,1457.6002,1457.6002,10.4919561197329,35,1
"696",50857,2023,6,1489.0011,1489.0011,9.31788309297772,35,0
"697",50858,2023,6,1497.6022,1497.6022,20.6564149492017,7,0
"698",50859,2023,4,1497.4021,1497.4021,15.4592762754883,35,0
"699",50868,2023,6,1500.2022,1500.2022,18.9383975143622,35,0
"700",50894,2023,3,1470.2,1530.5015,39.2913139647372,21,0
"701",50914,2023,5,1463.4003,1463.4003,20.6417081081387,63,1
"702",50918,2023,6,1465.7,1516.4029,40.4706783372555,7,0
"703",50926,2023,5,1521.5033,1521.5033,9.36072555209261,7,0
"704",50959,2023,7,1466.7014,1466.7014,35.1777748228394,35,0
"705",50960,2023,5,1482.9008,1482.9008,44.8928969303887,7,0
"706",51119,2023,7,1438.7004,1438.7004,70.9804209133621,7,0
"707",51240,2023,3,1462.7,1504.3015,19.6654604224993,7,0
"708",51244,2023,3,1464.2,1493.1004,22.465726439228,21,0
"709",51245,2023,3,1480.8,1485.2002,19.5135644320104,21,0
"710",51250,2023,3,1490.4,1510.9007,19.1839559355091,21,0
"711",51257,2023,4,1491.6,1517.301,17.9469807360981,21,0
"712",51270,2023,3,1517.9011,1517.9011,25.8278324300656,21,0
"713",52171,2023,5,1504.3031,1504.3031,49.015880029011,7,0
"714",52172,2023,5,1529.4051,1529.4051,30.780368716466,7,0
"715",52258,2023,4,1471.4,1491.6016,12.8098354510069,7,0
"716",52297,2023,6,1485,1487.1017,48.7408556407046,7,0
"717",52298,2023,6,1431.3006,1431.3006,30.5588889090948,50,1
"718",52955,2023,5,1457.6011,1457.6011,22.0475065461471,35,0
"719",52958,2023,5,1490.3033,1490.3033,27.0278840143729,35,0
"720",52960,2023,5,1498.2045,1498.2045,46.2854423691942,35,0
"721",52964,2023,5,1460.1012,1460.1012,67.2201892873681,35,0
"722",53132,2023,6,1478.7,1486.2009,34.3856394574667,35,0
"723",53133,2023,5,1490.3019,1490.3019,36.0260365183554,7,0
"724",53136,2023,5,1549.3004,1549.3004,50.1054693408775,35,0
"725",53138,2023,6,1533.5001,1533.5001,36.4677117829671,35,0
"726",53555,2023,5,1470.7017,1470.7017,31.0519663927037,35,0
"727",53736,2023,6,1469.1004,1469.1004,18.9194055746369,7,0
"728",53850,2023,4,1443.8003,1443.8003,24.3946468525756,7,1
"729",53851,2023,4,1462.5007,1462.5007,22.8617503217164,7,0
"730",53852,2023,4,1423.2,1436.7001,22.0507168252531,7,1
"731",53853,2023,3,1488.1007,1488.1007,19.1782950624456,63,0
"732",54089,2023,6,1453.7,1464.7002,37.071010327733,71,1
"733",54090,2023,6,1442.0001,1442.0001,43.980284996187,7,1
"734",54091,2023,6,1513.7015,1513.7015,31.2707417354421,21,0
"735",54101,2023,6,1502.903,1502.903,31.0562477228773,7,0
"736",55020,2023,5,1445.8001,1445.8001,21.3477308273268,21,1
"737",55639,2023,4,1473.302,1473.302,54.0835225615591,35,0
"738",55948,2023,6,1499.3006,1499.3006,77.0595803320885,7,0
"739",56055,2023,5,1443.4,1444.8008,35.4717000949432,7,0
"740",56332,2023,6,1545.9057,1545.9057,11.0434432678581,35,0
"741",56335,2023,5,1508.2008,1508.2008,37.8802206279425,7,0
"742",56567,2023,5,1442.7,1474.0047,42.2221816622791,63,0
"743",56622,2023,5,1432.9,1441.7012,30.4542502090021,63,1
"744",56625,2023,4,1442.5,1484.7004,27.0806328521303,7,1
"745",56626,2023,4,1434.5,1460.903,29.6160697808216,63,1
"746",56688,2023,5,1480.7004,1480.7004,31.4078239344657,7,1
"747",56722,2023,5,1460.6002,1460.6002,33.0115474873263,7,0
"748",56724,2023,5,1468.2016,1468.2016,20.3319753275868,35,0
"749",56743,2023,6,1471.4019,1471.4019,42.1047644149314,35,0
"750",56786,2023,6,1457.5006,1457.5006,44.8514158839928,7,0
"751",56787,2023,6,1464,1493.2021,38.1249771950861,7,0
"752",56788,2023,6,1534.3043,1534.3043,68.6710686327138,7,0
"753",56791,2023,5,1466.6008,1466.6008,29.1724241328279,7,0
"754",57100,2023,5,1467,1486.0015,26.3367508672273,7,0
"755",57255,2023,5,1497.3021,1497.3021,20.3240196030806,7,0
"756",57264,2023,6,1510.3035,1510.3035,55.4236708172744,7,0
"757",57269,2023,4,1601.8,1645.8071,46.8317200552881,21,0
"758",57371,2023,6,1447.9004,1447.9004,16.3394973733466,7,1
"759",57372,2023,6,1480.5013,1480.5013,18.4834010562342,7,0
"760",57374,2023,5,1488,1496.4024,15.5019090123249,7,0
"761",57375,2023,5,1478.5012,1478.5012,21.9269056667283,7,0
"762",58362,2023,2,1522.4,1530.2008,1.90120000000002,21,0
"763",58366,2023,3,1500.3,1516.8006,30.5794725724083,21,0
"764",58367,2023,4,1502.8011,1502.8011,8.99749257307281,7,0
"765",58683,2023,4,1502.9012,1502.9012,49.3160717990849,7,0
"766",59217,2023,5,1499.6026,1499.6026,48.541710091442,7,0
"767",59242,2023,5,1499.8007,1499.8007,56.7173530594253,7,0
"768",59402,2023,5,1493.6043,1493.6043,55.1746693435663,7,0
"769",59648,2023,6,1491.7078,1491.7078,26.3508067340135,63,0
"770",60202,2023,6,1506.4014,1506.4014,34.4394167696242,7,0
"771",60992,2023,7,1511.7007,1511.7007,19.7351763344136,64,0
"772",61056,2023,6,1483.9005,1483.9005,12.4549960644875,64,0
"773",61057,2023,6,1480.1014,1480.1014,24.4438252695931,7,0
"774",61989,2023,6,1449.7009,1449.7009,31.8780718582789,7,0
"775",62098,2023,7,1478.7015,1478.7015,64.1674532935939,56,0
"776",62357,2023,6,1499.5,1506.7097,15.4933435618511,63,0
"777",63191,2023,7,1471.4009,1471.4009,27.9084205600102,7,1
"778",63326,2023,6,1602.1027,1602.1027,69.6860563873533,35,0
"779",63331,2023,6,1609.9011,1609.9011,44.5744730564634,21,0
"780",64207,2023,5,1562.7,1563.7045,8.10839161147258,63,0
"781",64208,2023,6,1543.9029,1543.9029,20.7282541447658,63,0
"782",64254,2023,4,1451.0005,1451.0005,39.7765401549148,7,1
"783",64817,2023,5,1490.9034,1490.9034,40.5842272708869,35,0
"784",64828,2023,6,1487.4011,1487.4011,65.6142771819688,7,0
"785",65830,2023,6,1444.8005,1444.8005,32.1323793580619,35,0
"786",66203,2023,6,1505.0032,1505.0032,17.060643386297,7,0
"787",66210,2023,5,1522.0042,1522.0042,18.0731441162184,7,0
"788",66835,2023,6,1542.3,1544.1057,9.96664743795537,35,0
"789",66842,2023,6,1545.0053,1545.0053,70.5606392940674,7,0
"790",67137,2023,6,1480.9024,1480.9024,66.1210576284742,35,0
"791",67165,2023,5,1476.6024,1476.6024,32.5975602260353,7,0
"792",67356,2023,7,1508.6027,1508.6027,56.656500370743,7,0
"793",67603,2023,5,1444.2004,1444.2004,32.7836259386705,35,1
"794",67604,2023,5,1482.9026,1482.9026,39.9310276248378,35,0
"795",67607,2023,5,1478.6023,1478.6023,217.990161690176,35,0
"796",67849,2023,5,1489.7008,1489.7008,38.425273221605,7,0
"797",67914,2023,5,1490.3014,1490.3014,53.3088853772228,35,0
"798",67948,2023,5,1497.7017,1497.7017,44.7343818040092,7,0
"799",68101,2023,5,1513.1031,1513.1031,32.974240580344,35,0
"800",68102,2023,5,1466.8003,1466.8003,34.9383838034102,7,0
"801",68105,2023,5,1478.3007,1478.3007,25.3942878349128,7,0
"802",68106,2023,6,1554.2072,1554.2072,21.7065577593501,35,0
"803",68441,2023,6,1470.5011,1470.5011,22.6676366953946,56,0
"804",68593,2023,6,1522.1034,1522.1034,14.2529111078965,7,0
"805",68820,2023,5,1519.8036,1519.8036,30.8146560520152,35,0
"806",68821,2023,6,1520.4037,1520.4037,22.0522824575799,35,0
"807",68822,2023,5,1527.0037,1527.0037,8.59686186163294,7,0
"808",69200,2023,6,1485.7013,1485.7013,29.1421636282333,7,0
"809",69202,2023,5,1486.9014,1486.9014,26.7506615069907,7,0
"810",69203,2023,5,1480.701,1480.701,26.6629016901312,7,0
"811",69204,2023,5,1456.4004,1456.4004,52.6232849912508,7,0
"812",69206,2023,4,1496.0006,1496.0006,23.1602807423075,21,0
"813",69512,2023,6,1438.6002,1438.6002,26.7176531605154,7,1
"814",69513,2023,4,1486.2029,1486.2029,31.2529581327413,35,0
